Experiment,Average Sales,Sales Record
Low Trust,39.86666666666667,"[25, 27, 30, 34, 34, 32, 37, 43, 38, 42, 41, 43, 43, 41, 44, 44, 41, 45, 42, 38, 44, 42, 40, 43, 46, 44, 43, 44, 44, 42]"
High Trust,43.733333333333334,"[42, 45, 42, 45, 45, 45, 46, 44, 44, 44, 42, 45, 46, 44, 45, 45, 42, 41, 43, 43, 42, 44, 39, 45, 42, 44, 45, 46, 43, 44]"
Many Leaders,49.93333333333333,"[50, 50, 50, 49, 50, 50, 49, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
Low Subsidy,41.0,"[38, 35, 43, 41, 42, 44, 43, 43, 42, 41, 40, 40, 42, 39, 43, 42, 41, 40, 43, 42, 42, 41, 40, 39, 41, 41, 40, 41, 43, 38]"
High Sensitivity,28.666666666666668,"[25, 26, 26, 31, 27, 26, 25, 31, 27, 33, 32, 28, 27, 31, 25, 28, 30, 31, 33, 21, 29, 31, 28, 27, 30, 28, 32, 30, 30, 32]"
